compound,mass
C05340,245.1488
C05341,217.1426
C05345,260.0297
C05350,180.0423
C05356,336.2301
C05378,339.996
C05379,190.0114
C05381,527.0767
C05382,290.0403
C05399,344.1319
C05400,342.1162
C05401,254.1002
C05402,342.1162
C05404,504.16900000000004
C05422,174.0164
C05437,384.3392
C05439,384.3392
C05443,384.3392
C05444,420.3603
C05445,418.3447
C05446,436.3553
C05447,1181.4286
C05448,1199.4392
C05449,1197.4235
C05450,1215.4341
C05451,402.3498
C05452,404.3654
C05453,418.3447
C05454,420.3603
C05455,400.3341
C05460,1197.4235
C05465,499.2968
C05466,449.3141
C05467,1213.4184
C05469,362.2093
C05471,364.225
C05473,362.2093
C05476,350.2457
C05478,348.2301
C05479,316.2402
C05485,332.2351
C05487,348.2301
C05488,346.2144
C05489,364.225
C05490,344.1988
C05497,346.2144
C05498,330.2195
C05499,418.3447
C05500,402.3498
C05501,418.3447
C05502,402.3498
C05503,448.2097
C05504,464.2046
C05512,252.0859
C05519,119.0582
C05527,151.9779
C05528,167.9729
C05552,372.1831
C05560,490.1213
C05576,170.0579
C05577,168.0423
C05578,149.0477
C05579,147.032
C05580,184.0372
C05581,166.063
C05582,182.0579
C05583,182.0579
C05584,198.0528
C05585,138.0317
C05587,167.0946
C05588,197.1052
C05589,183.0895
C05590,127.9123
C05594,184.0736
C05598,193.0739
C05634,175.0633
C05635,191.0582
C05636,180.0899
C05637,161.0477
C05638,180.0899
C05639,161.0477
C05640,300.0382
C05642,264.111
C05643,248.1161
C05645,223.0481
C05647,208.0848
C05648,252.0746
C05651,224.0797
C05653,165.0426
C05665,73.0528
C05668,839.1363
C05684,127.9013
C05686,474.9644
C05689,182.9799
C05697,145.9118
C05698,182.9799
C05703,95.9478
C05766,836.2752
C05768,660.3159
C05774,989.4897
C05787,936.3277
C05791,590.3104
C05823,122.0038
C05827,124.0637
C05828,140.0586
C05841,256.0821
C05842,152.0586
C05843,152.0586
C05844,254.0573
C05849,466.3447
C05852,152.0473
C05921,573.1407
C05922,541.0012
C05923,513.0063
C05924,395.0123
C05933,190.1066
C05936,129.079
C05938,147.0532
C05946,162.0164
C05947,163.0481
C05951,496.2607
C05956,368.2199
C05965,336.2301
C05966,336.2301
C05983,403.0893
C05984,104.0473
C05993,389.0736
C05998,867.1676
C06000,853.1519999999999
C06001,104.0473
C06002,102.0317
C06054,213.9879
C06055,215.0195
C06123,238.2297
C06124,379.2488
C06148,513.0063
C06174,299.1521
C06196,332.0522
C06197,756.0819
C06198,789.9938
C06205,162.0681
C06212,190.1106
C06213,174.1157
C06241,389.0723
C06341,418.3447
C06423,144.115
C06424,228.2089
C06427,278.2246
C06472,194.0427
C06505,936.3679
C06506,1186.462
C06508,1239.5837
C06790,129.9144
C06800,312.0634
C06899,163.9199
C07054,137.0589
C07073,234.1732
C07086,136.0524
C07108,371.2249
C07447,74.048
C07480,180.0647
C07481,194.0804
C07490,147.9249
C07501,238.0954
C07535,252.0939
C07572,324.1638
C07585,179.0695
C07645,276.0197
C07646,292.0146
C07648,167.0266
C07649,130.0179
C07712,416.329
C08276,120.0245
C08821,412.3705
C09332,574.2136
C11038,417.0338
C11039,497.0002
C11061,476.241
C11088,185.868
C11131,478.2203
C11132,476.2046
C11133,446.1941
C11134,464.241
C11135,466.2567
C11136,466.2567
C11148,145.9093
C11150,161.9042
C11173,392.1372
C11278,635.1421
C11376,568.1693
C11455,410.3549
C11508,410.3549
C11522,412.3705
C11537,169.9885
C11555,499.9287
C11583,565.0930000000001
C11736,246.0652
C11821,184.0233
C12144,317.293
C12248,202.0338
C12270,304.0907
C12650,359.1493
C12739,246.0652
C13051,745.0673
C13550,402.3498
C13645,79.9262
C13712,318.2559
C13747,180.0647
C14039,95.9534
C14040,173.0477
C14453,171.9524
C14556,268.0888
C14748,320.2351
C14749,320.2351
C14768,320.2351
C14769,320.2351
C14770,320.2351
C14771,320.2351
C14772,338.2457
C14773,338.2457
C14774,338.2457
C14775,338.2457
C14778,320.2351
C14781,336.2301
C14782,354.2406
C14786,144.0575
C14787,144.0575
C14791,451.1413
C14800,189.0426
C14801,207.0532
C14802,189.0426
C14812,336.2301
C14813,336.2301
C14814,354.2406
C14818,55.9349
C14819,55.9349
C14823,336.2301
C14825,296.2351
C14826,296.2351
C14839,171.9524
C14840,171.9524
C14845,187.9473
C14847,479.0362
C14848,479.0362
C14849,268.0888
C14850,268.0888
C14851,268.0888
C14852,286.0994
C14853,302.0943
C14854,284.0837
C14855,575.1726
C14856,575.1726
C14857,111.9483
C14858,111.9483
C14859,111.9483
C14861,419.0321
C14863,654.1625
C14864,383.0554
